Line#,Date,"Solar Radiation (S-LIB 10455351:10444880-1), W/m^2, Pyranometer 1","Temperature (S-TMB 10455351:10138775-1), *C","Current (91-U30-CVIA 10455351:10417917-2), mA","Voltage (91-U30-CVIA 10455351:10417917-1), V","Battery (U30 BATTERY 10455351:10455351-B), V"
224,06/12/14 15:33:00,791,,0.000,-0.199,4.51
225,06/12/14 15:34:00,787,,0.000,-0.199,4.51
226,06/12/14 15:35:00,782,,0.000,-0.199,4.51
227,06/12/14 15:36:00,777,,0.000,-0.199,4.44
228,06/12/14 15:37:00,778,,0.000,-0.199,4.50
229,06/12/14 15:38:00,779,,0.000,-0.199,4.51
230,06/12/14 15:39:00,777,,0.000,-0.199,4.51
231,06/12/14 15:40:00,783,,0.000,-0.199,4.51
232,06/12/14 15:41:00,786,,0.000,-0.199,4.51
233,06/12/14 15:42:00,787,,0.000,-0.199,4.51
234,06/12/14 15:43:00,787,,0.000,-0.199,4.51
235,06/12/14 15:44:00,786,,0.000,-0.199,4.51
236,06/12/14 15:45:00,786,,0.000,-0.199,4.51
237,06/12/14 15:46:00,782,,0.000,-0.199,4.44
238,06/12/14 15:47:00,786,,0.000,-0.199,4.48
239,06/12/14 15:48:00,781,,0.000,-0.199,4.50
240,06/12/14 15:49:00,776,,0.000,-0.199,4.51
241,06/12/14 15:50:00,779,,0.000,-0.199,4.51
242,06/12/14 15:51:00,786,,0.000,-0.199,4.51
243,06/12/14 15:52:00,789,,0.000,-0.199,4.51
244,06/12/14 15:53:00,791,,0.000,-0.199,4.51
245,06/12/14 15:54:00,787,,0.000,-0.199,4.51
246,06/12/14 15:55:00,777,,0.000,-0.199,4.51
247,06/12/14 15:56:00,766,,0.000,-0.199,4.51
248,06/12/14 15:57:00,766,,0.000,-0.199,4.51
249,06/12/14 15:58:00,774,,0.000,-0.199,4.48
250,06/12/14 15:59:00,774,,0.000,-0.199,4.50
251,06/12/14 16:00:00,777,,0.000,-0.199,4.51
